Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity,norm_name,is_aroma,Aroma Description
Nonanal,SARPO MIRA.csv,SARPO MIRA,12.0795333333333,253,12.102,57,14783528.673233343,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,SARPO MIRA.csv,SARPO MIRA,13.5971833333333,297,13.587,59,59474.168007120126,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,SARPO MIRA.csv,SARPO MIRA,13.7065166666667,300,13.703,120,21567.221484534635,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,SARPO MIRA.csv,SARPO MIRA,15.0408833333333,343,15.031,55,84908.59983969541,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,SARPO MIRA.csv,SARPO MIRA,16.3624,386,16.349,58,186633.90228403592,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
1-Octen-3-ol,SARPO MIRA.csv,SARPO MIRA,18.6710166666667,463,18.668,135,8307.107078917588,1octen3ol,True,"Mushroom, earthy, raw potato"
Acetophenone,SARPO MIRA.csv,SARPO MIRA,19.3108666666667,484,19.314,57,90482.54173586184,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",VAN GOGH.csv,VAN GOGH,2.18268333333333,10,2.183,45,14184126.209400592,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",VAN GOGH.csv,VAN GOGH,2.89648333333333,32,2.895,44,3483484.7293287795,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Benzaldehyde,VAN GOGH.csv,VAN GOGH,9.31111666666667,165,9.322,85,11230.323963571636,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,VAN GOGH.csv,VAN GOGH,9.52333333333333,172,9.542,79,250608.92058278635,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,VAN GOGH.csv,VAN GOGH,9.73875,179,9.751,43,38716.635929969554,hexanol,True,"Green, grassy, herbaceous"
Octanal,VAN GOGH.csv,VAN GOGH,10.1957364362022,195,10.179,59,37029.37247315348,octanal,True,"Citrus, fruity, green"
Hexanol,VAN GOGH.csv,VAN GOGH,10.6969333333333,209,10.699,92,11235.869611745236,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,VAN GOGH.csv,VAN GOGH,11.4493333333333,233,11.452,69,63046.087673549,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,VAN GOGH.csv,VAN GOGH,12.0795333333333,253,12.102,57,13145967.70038934,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Hexanoic acid,VAN GOGH.csv,VAN GOGH,13.3367333333333,290,13.349,105,2226235.6843353924,hexanoicacid,True,"Fatty, sweaty, rancid"
Decanal,VAN GOGH.csv,VAN GOGH,13.5939666666667,297,13.587,59,70109.85703466453,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,VAN GOGH.csv,VAN GOGH,13.7065,300,13.703,120,23603.358244881994,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,VAN GOGH.csv,VAN GOGH,15.0376666666667,343,15.031,55,118136.55663003362,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,VAN GOGH.csv,VAN GOGH,16.3623833333333,386,16.349,58,191217.108261658,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Phenylacetaldehyde,VAN GOGH.csv,VAN GOGH,18.15655,446,18.134,76,453642.7254843082,phenylacetaldehyde,True,"Honey-like, floral, sweet potato note"
Acetophenone,VAN GOGH.csv,VAN GOGH,19.3108666666667,484,19.314,57,124926.50961257816,acetophenone,True,"Floral, sweet, almond-like"
Propanal,ALTUS.csv,ALTUS,2.01306687810509,4,2.012,64,1541550.2587224066,propanal,True,"Sharp, pungent, green"
"2-Propanone, 1-methoxy-",ALTUS.csv,ALTUS,2.18143446042587,10,2.183,45,14863776.17511903,2propanone1methoxy,True,"Solvent, ether-like"
Isoamyl acetate,ALTUS.csv,ALTUS,2.46346479897378,21,2.473,43,3670501.100114468,isoamylacetate,True,"Banana, fruity, sweet"
Hexanol,ALTUS.csv,ALTUS,2.52017328481791,22,2.518,45,3812744.494172588,hexanol,True,"Green, grassy, herbaceous"
"Butanal, 3-methyl-",ALTUS.csv,ALTUS,2.61178585560923,26,2.625,132,1707214.5216794591,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
"Butanal, 3-methyl-",ALTUS.csv,ALTUS,2.89960413096503,32,2.895,44,1298481.884573833,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Benzeneacetaldehyde,ALTUS.csv,ALTUS,7.14576796869927,115,7.167,91,112599.08113767626,benzeneacetaldehyde,True,"Honey, floral, sweet"
1-Phenylethanol,ALTUS.csv,ALTUS,7.33419499326027,117,7.289,51,9139.750036721663,1phenylethanol,True,"Floral, rose, sweet"
Heptanal,ALTUS.csv,ALTUS,7.9374949950859,131,7.933,56,16248.018067807556,heptanal,True,"Fatty, citrus-like, slightly green"
Acetophenone,ALTUS.csv,ALTUS,9.06316743570531,156,9.061,191,41127.67870842681,acetophenone,True,"Floral, sweet, almond-like"
Benzaldehyde,ALTUS.csv,ALTUS,9.31351093984436,165,9.322,85,5048.052348163071,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,ALTUS.csv,ALTUS,9.52562455499367,172,9.542,79,190475.0056067249,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,ALTUS.csv,ALTUS,9.74478290372598,179,9.751,43,61235.01668739508,hexanol,True,"Green, grassy, herbaceous"
Decanal,ALTUS.csv,ALTUS,10.1239193755205,193,10.118,191,483650.9613730879,decanal,True,"Citrus, fatty, waxy, potato-like"
Octanal,ALTUS.csv,ALTUS,10.1948648561994,195,10.179,59,63503.766597703,octanal,True,"Citrus, fruity, green"
3-Octanone,ALTUS.csv,ALTUS,10.3718018395643,200,10.381,57,59892.55256849311,3octanone,True,"Mushroom, earthy, fatty"
Hexanol,ALTUS.csv,ALTUS,10.6965135509653,209,10.699,92,26685.712718861352,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,ALTUS.csv,ALTUS,11.4482083699685,233,11.452,69,92565.44140420192,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,ALTUS.csv,ALTUS,12.077816782362,253,12.102,57,12705775.21942954,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
1-Nonanol,ALTUS.csv,ALTUS,12.5559269036266,266,12.578,43,65542.75138970584,1nonanol,True,"Waxy, floral, oily"
Decanal,ALTUS.csv,ALTUS,13.1533440808007,283,13.15,105,95777.81786956172,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ALTUS.csv,ALTUS,13.5952497024413,297,13.587,59,146080.4830783643,decanal,True,"Citrus, fatty, waxy, potato-like"
Hexanoic acid,ALTUS.csv,ALTUS,13.6413443944205,299,13.649,105,8949611.914500942,hexanoicacid,True,"Fatty, sweaty, rancid"
Decanal,ALTUS.csv,ALTUS,13.7085511637286,300,13.703,120,59860.761168476034,decanal,True,"Citrus, fatty, waxy, potato-like"
"2,4-Decadienal",ALTUS.csv,ALTUS,14.5457929928984,327,14.53,73,54876.73668398424,24decadienal,True,"Fatty, fried, potato-chip-like"
Decanal,ALTUS.csv,ALTUS,15.0381787690657,343,15.031,55,100650.5724539937,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,ALTUS.csv,ALTUS,16.3604437719113,386,16.349,58,190418.64812487637,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Methyl butanoate,ALTUS.csv,ALTUS,17.164256846462,414,17.16,115,36202.17930123911,methylbutanoate,True,"Apple, fruity, sweet"
Decanal,ALTUS.csv,ALTUS,17.2943025276369,419,17.295,104,44733.83501490679,decanal,True,"Citrus, fatty, waxy, potato-like"
Pentanal,ALTUS.csv,ALTUS,17.5906194035185,429,17.574,281,4103986.232260642,pentanal,True,"Fatty, green, pungent"
Phenylacetaldehyde,ALTUS.csv,ALTUS,18.1578049041685,446,18.134,76,780623.0993142151,phenylacetaldehyde,True,"Honey-like, floral, sweet potato note"
Ethyl pentanoate,ALTUS.csv,ALTUS,18.8092147768044,467,18.799,222,62749.443379116565,ethylpentanoate,True,"Fruity, sweet"
Acetophenone,ALTUS.csv,ALTUS,19.3103686285223,484,19.314,57,134430.38003575095,acetophenone,True,"Floral, sweet, almond-like"
Decanal,ALTUS.csv,ALTUS,19.7740529029603,501,19.772,138,49683.90050392577,decanal,True,"Citrus, fatty, waxy, potato-like"
"2-Propanone, 1-methoxy-",ARDECHE.csv,ARDECHE,2.18598333333333,10,2.183,45,16101896.953368053,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",ARDECHE.csv,ARDECHE,2.90301666666667,32,2.895,44,1805478.76348468,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,ARDECHE.csv,ARDECHE,5.2888,89,5.289,56,1407554.401908323,hexanal,True,"Green, grassy, fresh-cut potato"
Benzaldehyde,ARDECHE.csv,ARDECHE,9.31765,165,9.322,85,20162.783119635547,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,ARDECHE.csv,ARDECHE,9.52663333333333,172,9.542,79,228780.4134328169,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,ARDECHE.csv,ARDECHE,9.76136666666667,180,9.767,60,93378.87121309128,hexanol,True,"Green, grassy, herbaceous"
Octanal,ARDECHE.csv,ARDECHE,10.1954333333333,195,10.179,59,21537.6030814458,octanal,True,"Citrus, fruity, green"
Hexanol,ARDECHE.csv,ARDECHE,10.6970333333333,209,10.699,92,17209.034187899055,hexanol,True,"Green, grassy, herbaceous"
Nonanal,ARDECHE.csv,ARDECHE,12.0796333333333,253,12.102,57,17192421.49634161,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,ARDECHE.csv,ARDECHE,13.5972833333333,297,13.587,59,82515.89821685787,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ARDECHE.csv,ARDECHE,13.7066,300,13.703,120,24570.079773455647,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,ARDECHE.csv,ARDECHE,15.0377666666667,343,15.031,55,138927.25429567363,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,ARDECHE.csv,ARDECHE,16.3624833333333,386,16.349,58,145299.10015261042,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
1-Nonanol,ARDECHE.csv,ARDECHE,18.6711166666667,463,18.668,135,10461.773548177183,1nonanol,True,"Waxy, floral, oily"
Acetophenone,ARDECHE.csv,ARDECHE,19.3109666666667,484,19.314,57,74326.75322694489,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",EL MUNDO.csv,EL MUNDO,2.18595,10,2.183,45,13011018.01870202,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",EL MUNDO.csv,EL MUNDO,2.89976666666667,32,2.895,44,2572608.89259786,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Heptanal,EL MUNDO.csv,EL MUNDO,7.93821666666667,131,7.933,56,21871.961304332508,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,EL MUNDO.csv,EL MUNDO,9.31914398605512,165,9.322,85,10004.20828222197,benzaldehyde,True,"Almond, cherry, sweet"
Hexanol,EL MUNDO.csv,EL MUNDO,9.75058248820868,179,9.751,43,114585.29946767497,hexanol,True,"Green, grassy, herbaceous"
Octanal,EL MUNDO.csv,EL MUNDO,10.1954,195,10.179,59,69811.86577484453,octanal,True,"Citrus, fruity, green"
Hexanol,EL MUNDO.csv,EL MUNDO,10.697,209,10.699,92,24115.842904330333,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,EL MUNDO.csv,EL MUNDO,11.4526,233,11.452,69,119544.12584780574,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,EL MUNDO.csv,EL MUNDO,12.0796,253,12.102,57,14193079.794714317,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,EL MUNDO.csv,EL MUNDO,13.7097833333333,300,13.703,120,76813.41313427023,decanal,True,"Citrus, fatty, waxy, potato-like"
"2-Propanone, 1-methoxy-",EL MUNDO.csv,EL MUNDO,14.2596166666667,317,14.247,88,571607.0341179952,2propanone1methoxy,True,"Solvent, ether-like"
Tetramethylpyrazine,EL MUNDO.csv,EL MUNDO,16.3592333333333,386,16.349,58,166813.25371619005,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Phenylacetaldehyde,EL MUNDO.csv,EL MUNDO,18.1566166666667,446,18.134,76,508951.28956391127,phenylacetaldehyde,True,"Honey-like, floral, sweet potato note"
Acetophenone,EL MUNDO.csv,EL MUNDO,19.3109333333333,484,19.314,57,107087.36295068768,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",FABULA.csv,FABULA,2.1892,10,2.183,45,15662548.446820589,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",FABULA.csv,FABULA,2.8998,32,2.895,44,4979893.735217151,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,FABULA.csv,FABULA,5.28558333333333,89,5.289,56,1896646.050887348,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,FABULA.csv,FABULA,7.93825,131,7.933,56,25041.595835762728,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,FABULA.csv,FABULA,9.32097292960808,165,9.322,85,8593.389515006305,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,FABULA.csv,FABULA,9.52663333333333,172,9.542,79,118194.54847758348,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,FABULA.csv,FABULA,9.75171666666667,179,9.751,43,73191.78916384245,hexanol,True,"Green, grassy, herbaceous"
Octanal,FABULA.csv,FABULA,10.19865,196,10.218,43,2758525.7225620663,octanal,True,"Citrus, fruity, green"
Hexanol,FABULA.csv,FABULA,10.6970333333333,209,10.699,92,11472.834183194082,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,FABULA.csv,FABULA,11.4526333333333,233,11.452,69,134356.75541548518,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,FABULA.csv,FABULA,12.0796333333333,253,12.102,57,19527090.253795136,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Hexanoic acid,FABULA.csv,FABULA,13.5104666666667,294,13.497,57,937309.7482000946,hexanoicacid,True,"Fatty, sweaty, rancid"
Decanal,FABULA.csv,FABULA,13.7098166666667,300,13.703,120,50455.19842762174,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,FABULA.csv,FABULA,16.3592666666667,386,16.349,58,143136.28810780536,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Phenylacetaldehyde,FABULA.csv,FABULA,18.1598666666667,447,18.182,51,378391.31194770266,phenylacetaldehyde,True,"Honey-like, floral, sweet potato note"
Acetophenone,FABULA.csv,FABULA,19.3109666666667,484,19.314,57,81651.4636043051,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",FONTANE.csv,FONTANE,2.18915,10,2.183,45,14874536.743935514,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",FONTANE.csv,FONTANE,2.89975,32,2.895,44,2272115.8210586924,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Pentanal,FONTANE.csv,FONTANE,3.31773333333333,46,3.315,44,965528.426450969,pentanal,True,"Fatty, green, pungent"
Heptanal,FONTANE.csv,FONTANE,7.9382,131,7.933,56,24744.254204165845,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,FONTANE.csv,FONTANE,9.31436666666667,165,9.322,85,20453.492200391967,benzaldehyde,True,"Almond, cherry, sweet"
Hexanol,FONTANE.csv,FONTANE,9.75973787207525,180,9.767,60,240652.70246736237,hexanol,True,"Green, grassy, herbaceous"
Hexanol,FONTANE.csv,FONTANE,10.7034,209,10.699,92,32295.299649077788,hexanol,True,"Green, grassy, herbaceous"
Nonanal,FONTANE.csv,FONTANE,12.0828,253,12.102,57,18520273.51763455,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,FONTANE.csv,FONTANE,13.7097666666667,300,13.703,120,172418.6441134792,decanal,True,"Citrus, fatty, waxy, potato-like"
Ethanol,FONTANE.csv,FONTANE,13.9862833333333,308,13.989,57,850177.1489240789,ethanol,True,"Alcoholic, sweet"
"2-Propanone, 1-methoxy-",FONTANE.csv,FONTANE,14.2595833333333,317,14.247,88,3676377.655233823,2propanone1methoxy,True,"Solvent, ether-like"
"2-Propanone, 1-methoxy-",FONTANE.csv,FONTANE,14.3303333333333,320,14.343,71,592038.6456414731,2propanone1methoxy,True,"Solvent, ether-like"
Methyl butanoate,FONTANE.csv,FONTANE,15.4975,358,15.494,87,508551.04068778665,methylbutanoate,True,"Apple, fruity, sweet"
Decanal,FONTANE.csv,FONTANE,17.3013166666667,419,17.295,104,136427.9846104511,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,FONTANE.csv,FONTANE,18.4942166666667,458,18.497,105,955512.783543664,decanal,True,"Citrus, fatty, waxy, potato-like"
1-Octen-3-ol,FONTANE.csv,FONTANE,18.6742666666667,463,18.668,135,12956.796890640158,1octen3ol,True,"Mushroom, earthy, raw potato"
Acetophenone,FONTANE.csv,FONTANE,19.32055,484,19.314,57,315516.7526423105,acetophenone,True,"Floral, sweet, almond-like"
3-Heptanone,FONTANE.csv,FONTANE,19.8478833333333,504,19.865,57,8195262.394312523,3heptanone,True,"Cheesy, earthy, fruity"
Octanoic acid,FONTANE.csv,FONTANE,20.49095,524,20.481,60,3404619.0080800955,octanoicacid,True,"Fatty, soapy, rancid"
"Butanal, 3-methyl-",JENNIFER.csv,JENNIFER,2.89968333333333,32,2.895,44,3987444.836926494,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,JENNIFER.csv,JENNIFER,5.28602461772753,89,5.289,56,1061394.317579012,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,JENNIFER.csv,JENNIFER,7.93491666666667,131,7.933,56,21476.31709836054,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,JENNIFER.csv,JENNIFER,9.31431666666667,165,9.322,85,17903.618174275733,benzaldehyde,True,"Almond, cherry, sweet"
Hexanol,JENNIFER.csv,JENNIFER,9.7516,179,9.751,43,91081.17858845188,hexanol,True,"Green, grassy, herbaceous"
Hexanol,JENNIFER.csv,JENNIFER,10.7001333333333,209,10.699,92,19376.12998850376,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,JENNIFER.csv,JENNIFER,11.452730916164,233,11.452,69,167838.65258528342,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,JENNIFER.csv,JENNIFER,12.0793095892,253,12.102,57,18437714.067772847,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,JENNIFER.csv,JENNIFER,13.7064833333333,300,13.703,120,169964.8124659939,decanal,True,"Citrus, fatty, waxy, potato-like"
Ethanol,JENNIFER.csv,JENNIFER,13.9862166666667,308,13.989,57,674457.0276629976,ethanol,True,"Alcoholic, sweet"
"2-Propanone, 1-methoxy-",JENNIFER.csv,JENNIFER,14.2627333333333,317,14.247,88,1351292.2853249577,2propanone1methoxy,True,"Solvent, ether-like"
"2-Propanone, 1-methoxy-",JENNIFER.csv,JENNIFER,14.3334833333333,320,14.343,71,702059.5898876663,2propanone1methoxy,True,"Solvent, ether-like"
Tetramethylpyrazine,JENNIFER.csv,JENNIFER,16.3623666666667,386,16.349,58,619441.6487340627,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Decanal,JENNIFER.csv,JENNIFER,17.30125,419,17.295,104,100319.54888790802,decanal,True,"Citrus, fatty, waxy, potato-like"
Phenylacetaldehyde,JENNIFER.csv,JENNIFER,18.15975,447,18.182,51,619483.493753771,phenylacetaldehyde,True,"Honey-like, floral, sweet potato note"
Decanal,JENNIFER.csv,JENNIFER,18.49415,458,18.497,105,527448.2587681623,decanal,True,"Citrus, fatty, waxy, potato-like"
1-Nonanol,JENNIFER.csv,JENNIFER,18.6742,463,18.668,135,11428.462107300482,1nonanol,True,"Waxy, floral, oily"
Acetophenone,JENNIFER.csv,JENNIFER,19.3140666666667,484,19.314,57,400856.2521618329,acetophenone,True,"Floral, sweet, almond-like"
3-Heptanone,JENNIFER.csv,JENNIFER,19.8478166666667,504,19.865,57,6505736.561723656,3heptanone,True,"Cheesy, earthy, fruity"
"2-Propanone, 1-methoxy-",RED SCARLETT.csv,RED SCARLETT,2.19455904343607,10,2.183,45,14943274.517721832,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",RED SCARLETT.csv,RED SCARLETT,2.89968333333333,32,2.895,44,5633351.522850827,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,RED SCARLETT.csv,RED SCARLETT,5.28548333333333,89,5.289,56,1648968.5490971804,hexanal,True,"Green, grassy, fresh-cut potato"
Benzaldehyde,RED SCARLETT.csv,RED SCARLETT,9.31431666666667,165,9.322,85,43176.427936433865,benzaldehyde,True,"Almond, cherry, sweet"
Hexanol,RED SCARLETT.csv,RED SCARLETT,9.76740865030707,180,9.767,60,142629.57972993632,hexanol,True,"Green, grassy, herbaceous"
Hexanol,RED SCARLETT.csv,RED SCARLETT,10.70335,209,10.699,92,19889.9215128193,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,RED SCARLETT.csv,RED SCARLETT,11.4600365751609,233,11.452,69,142310.7659698231,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,RED SCARLETT.csv,RED SCARLETT,12.0827333333333,253,12.102,57,17815689.687597733,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,RED SCARLETT.csv,RED SCARLETT,13.5971666666667,297,13.587,59,84032.62966053636,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,RED SCARLETT.csv,RED SCARLETT,13.7097166666667,300,13.703,120,23861.263693590747,decanal,True,"Citrus, fatty, waxy, potato-like"
Ethanol,RED SCARLETT.csv,RED SCARLETT,13.9862333333333,308,13.989,57,175340.0170946155,ethanol,True,"Alcoholic, sweet"
"2-Propanone, 1-methoxy-",RED SCARLETT.csv,RED SCARLETT,14.26275,317,14.247,88,893794.8322480967,2propanone1methoxy,True,"Solvent, ether-like"
"2-Propanone, 1-methoxy-",RED SCARLETT.csv,RED SCARLETT,14.3302666666667,320,14.343,71,363056.5400098826,2propanone1methoxy,True,"Solvent, ether-like"
Methyl butanoate,RED SCARLETT.csv,RED SCARLETT,15.49745,358,15.494,87,64507.10656684227,methylbutanoate,True,"Apple, fruity, sweet"
Decanal,RED SCARLETT.csv,RED SCARLETT,17.29805,419,17.295,104,26497.66423955012,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,RED SCARLETT.csv,RED SCARLETT,18.4909333333333,458,18.497,105,88568.81083182812,decanal,True,"Citrus, fatty, waxy, potato-like"
1-Octen-3-ol,RED SCARLETT.csv,RED SCARLETT,18.6742166666667,463,18.668,135,11115.264256734235,1octen3ol,True,"Mushroom, earthy, raw potato"
Acetophenone,RED SCARLETT.csv,RED SCARLETT,19.3205,484,19.314,57,78138.21452492644,acetophenone,True,"Floral, sweet, almond-like"
3-Heptanone,RED SCARLETT.csv,RED SCARLETT,19.8446,503,19.827,197,116336.17914415762,3heptanone,True,"Cheesy, earthy, fruity"
"2-Propanone, 1-methoxy-",RUSSET BURBANK.csv,RUSSET BURBANK,2.19407061122706,10,2.183,45,16201908.07361238,2propanone1methoxy,True,"Solvent, ether-like"
Hexanol,RUSSET BURBANK.csv,RUSSET BURBANK,2.52016666666667,22,2.518,45,2833501.685106439,hexanol,True,"Green, grassy, herbaceous"
"Butanal, 3-methyl-",RUSSET BURBANK.csv,RUSSET BURBANK,2.9028,32,2.895,44,2553703.1114815217,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,RUSSET BURBANK.csv,RUSSET BURBANK,5.28858333333333,89,5.289,56,1249895.288910002,hexanal,True,"Green, grassy, fresh-cut potato"
Benzaldehyde,RUSSET BURBANK.csv,RUSSET BURBANK,9.32748539665016,165,9.322,85,11298.758754928154,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,RUSSET BURBANK.csv,RUSSET BURBANK,9.52641666666667,172,9.542,79,301151.7227324973,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,RUSSET BURBANK.csv,RUSSET BURBANK,9.76436666666667,180,9.767,60,190083.14987625385,hexanol,True,"Green, grassy, herbaceous"
Octanal,RUSSET BURBANK.csv,RUSSET BURBANK,10.1984333333333,195,10.179,59,22512.15454955852,octanal,True,"Citrus, fruity, green"
Hexanol,RUSSET BURBANK.csv,RUSSET BURBANK,10.699196413952,209,10.699,92,20291.39271332988,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,RUSSET BURBANK.csv,RUSSET BURBANK,11.45885,233,11.452,69,157511.25053907142,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,RUSSET BURBANK.csv,RUSSET BURBANK,12.0794166666667,253,12.102,57,19288147.2447257,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,13.5970666666667,297,13.587,59,91057.4926769966,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,13.7096,300,13.703,120,26793.28986717708,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,RUSSET BURBANK.csv,RUSSET BURBANK,15.04075,343,15.031,55,152214.80613358223,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,RUSSET BURBANK.csv,RUSSET BURBANK,16.3622666666667,386,16.349,58,272366.0046043363,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
1-Nonanol,RUSSET BURBANK.csv,RUSSET BURBANK,18.6709,463,18.668,135,12961.427175450985,1nonanol,True,"Waxy, floral, oily"
Acetophenone,RUSSET BURBANK.csv,RUSSET BURBANK,19.3139666666667,484,19.314,57,171081.12139325557,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",SUNDANCE.csv,SUNDANCE,2.18583333333333,10,2.183,45,15849079.604784189,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",SUNDANCE.csv,SUNDANCE,2.89965,32,2.895,44,3340858.273058773,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,SUNDANCE.csv,SUNDANCE,5.28587025637822,89,5.289,56,1059158.776676329,hexanal,True,"Green, grassy, fresh-cut potato"
Benzaldehyde,SUNDANCE.csv,SUNDANCE,9.32185902703024,165,9.322,85,13879.644832878836,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,SUNDANCE.csv,SUNDANCE,9.52328333333333,172,9.542,79,221656.137709327,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,SUNDANCE.csv,SUNDANCE,9.76697361869027,180,9.767,60,89029.04022194263,hexanol,True,"Green, grassy, herbaceous"
Octanal,SUNDANCE.csv,SUNDANCE,10.1952833333333,195,10.179,59,31655.27215918099,octanal,True,"Citrus, fruity, green"
Hexanol,SUNDANCE.csv,SUNDANCE,10.7065333333333,209,10.699,92,17991.943946106847,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,SUNDANCE.csv,SUNDANCE,11.4589166666667,233,11.452,69,145393.9940094905,acetophenone,True,"Floral, sweet, almond-like"
